Date_reported,time,new,cum,newdeath,cumdeath
09/09/2020,251,3260,241987,26,3916
10/09/2020,252,3156,245143,70,3986
11/09/2020,253,3804,248947,80,4066
12/09/2020,254,4017,252964,42,4108
13/09/2020,255,4899,257863,184,4292
14/09/2020,256,3353,261216,79,4371
15/09/2020,257,4672,265888,259,4630
16/09/2020,258,3519,269407,33,4663
17/09/2020,259,3527,272934,69,4732
18/09/2020,260,3355,276289,53,4785
19/09/2020,261,3237,279526,45,4830
20/09/2020,262,3934,283460,100,4930
21/09/2020,263,3283,286743,54,4984
22/09/2020,264,3447,290190,15,4999
23/09/2020,265,1599,291789,50,5049
24/09/2020,266,2802,294591,42,5091
25/09/2020,267,2164,296755,36,5127
26/09/2020,268,2606,299361,69,5196
27/09/2020,269,1895,301256,88,5284
28/09/2020,270,2970,304226,60,5344
29/09/2020,271,3062,307288,37,5381
30/09/2020,272,2015,309303,67,5448
01/10/2020,273,2391,311694,56,5504
02/10/2020,274,2385,314079,58,5562
03/10/2020,275,2599,316678,54,5616
04/10/2020,276,2652,319330,62,5678
05/10/2020,277,3167,322497,98,5776
06/10/2020,278,2265,324762,64,5840
07/10/2020,279,2071,326833,25,5865
08/10/2020,280,2804,329637,60,5925
09/10/2020,281,2232,331869,144,6069
10/10/2020,282,2901,334770,83,6152
11/10/2020,283,2156,336926,86,6238
12/10/2020,284,2415,339341,83,6321
13/10/2020,285,3475,342816,11,6332
14/10/2020,286,1897,344713,40,6372
15/10/2020,287,1823,346536,77,6449
16/10/2020,288,2162,348698,48,6497
17/10/2020,289,3052,351750,34,6531
18/10/2020,290,2588,354338,72,6603
19/10/2020,291,2280,356618,49,6652
20/10/2020,292,2551,359169,23,6675
21/10/2020,293,1606,360775,15,6690
22/10/2020,294,1468,362243,57,6747
23/10/2020,295,1645,363888,36,6783
24/10/2020,296,1911,365799,132,6915
25/10/2020,297,2020,367819,19,6934
26/10/2020,298,2209,370028,43,6977
27/10/2020,299,1602,371630,62,7039
28/10/2020,300,1514,373144,14,7053
29/10/2020,301,2036,375180,61,7114
30/10/2020,302,1755,376935,33,7147
31/10/2020,303,1998,378933,38,7185
01/11/2020,304,1796,380729,36,7221
02/11/2020,305,2384,383113,17,7238
03/11/2020,306,2287,385400,31,7269
04/11/2020,307,1761,387161,49,7318
05/11/2020,308,976,388137,49,7367
06/11/2020,309,1588,389725,42,7409
07/11/2020,310,2084,391809,52,7461
08/11/2020,311,2152,393961,24,7485
09/11/2020,312,2434,396395,54,7539
10/11/2020,313,2054,398449,108,7647
11/11/2020,314,1300,399749,14,7661
12/11/2020,315,1667,401416,49,7710
13/11/2020,316,1404,402820,11,7721
14/11/2020,317,1893,404713,31,7752
15/11/2020,318,1624,406337,39,7791
16/11/2020,319,1501,407838,41,7832
17/11/2020,320,1736,409574,7,7839
18/11/2020,321,1144,410718,23,7862
19/11/2020,322,1379,412097,95,7957
20/11/2020,323,1333,413430,41,7998
21/11/2020,324,1637,415067,27,8025
22/11/2020,325,1785,416852,55,8080
23/11/2020,326,1966,418818,43,8123
